query_id,statute_id,title_list,section_list,content_list
1,818,Building Safety Act 2022,s.123(2)(b),"A ""remediation order"" may require a relevant landlord to take specified relevant steps in relation to a specified relevant defect in a specified relevant building by a specified time."
1,770,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(1),"1. Exposure to house dust mites, damp, mould or fungal growths."
1,802,Defective Premises Act 1972,s.4(2),The said duty is owed if the landlord knows (whether as the result of being notified by the tenant or otherwise) or if he ought in all the circumstances to have known of the relevant defect.
1,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste."
1,411,"Anti-social Behaviour, Crime and Policing Act 2014",s.47(2),"The relevant local authority may have work carried out to ensure that the failure is remedied, but only on land that is open to the air."
1,360,"Anti-social Behaviour, Crime and Policing Act 2014",s.5(3),A housing provider may make an application only if the application concerns anti-social behaviour that directly or indirectly relates to or affects its housing management functions.
1,456,Housing Act 1985,s.84A(3),"Condition 1 is thatâ (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of a serious offence, and (b) the serious offenceâ     (i) was committed (wholly or partly) in, or in the locality of, the dwelling-house,     (ii) was committed elsewhere against a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (iii) was committed elsewhere against the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and directly or indirectly related to or affected those functions."
1,986,Housing Act 1985,s.121B(5),"The body shall take such steps as it considers appropriate to bring to the attention of its secure tenants of dwellingâhouses in England the fact that copies of the current version of the document can be obtained free of charge from the places where, and at the times when, they are made available in accordance with subsection (4)."
1,900,Housing Act 1985,s.84A(7),"Condition 5 is thatâ (a) the tenant, or a person residing in or visiting the dwellingâhouse, has been convicted of an offence underâ    (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or    (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwellingâhouse which was a statutory nuisance under Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance)."
1,460,Housing Act 1985,s.84A(7),"Condition 5 is thatâ (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence underâ     (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or     (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwelling-house which was a statutory nuisance for the purposes of Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance)."
2,799,Landlord and Tenant Act 1985,s.11(1)(a),"In a lease to which this section applies there is implied a covenant by the lessor to keep in repair the structure and exterior of the dwelling-house (including drains, gutters and external pipes)."
2,253,Landlord and Tenant Act 1985,s.11(1),"(1)In a lease to which this section applies (as to which, see sections 13 and 14) there is implied a covenant by the lessorâ  (a)to keep in repair the structure and exterior of the dwelling-house (including drains, gutters and external pipes),  (b)to keep in repair and proper working order the installations in the dwelling-house for the supply of water, gas and electricity and for sanitation (including basins, sinks, baths and sanitary conveniences, but not other fixtures, fittings and appliances for making use of the supply of water, gas or electricity), and  (c)to keep in repair and proper working order the installations in the dwelling-house for space heating and heating water."
2,801,Defective Premises Act 1972,s.4(1),"Where premises are let under a tenancy which puts on the landlord an obligation to the tenant for the maintenance or repair of the premises, the landlord owes to all persons who might reasonably be expected to be affected by defects in the state of the premises a duty to take such care as is reasonable in all the circumstances to see that they are reasonably safe from personal injury or from damage to their property caused by a relevant defect."
2,802,Defective Premises Act 1972,s.4(2),The said duty is owed if the landlord knows (whether as the result of being notified by the tenant or otherwise) or if he ought in all the circumstances to have known of the relevant defect.
2,818,Building Safety Act 2022,s.123(2)(b),"A ""remediation order"" may require a relevant landlord to take specified relevant steps in relation to a specified relevant defect in a specified relevant building by a specified time."
