,query_id,statute_id,title_list,section_list,content_list
0,18,770,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(1),"1. Exposure to house dust mites, damp, mould or fungal growths."
1,18,780,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(11),11. A lack of adequate space for living and sleeping.
2,18,774,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(5),5. Exposure to chemicals used to treat timber and mould growth.
3,18,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste."
4,18,688,Landlord and Tenant Act 1985,s.19(4),F2
5,18,782,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(13),13. A lack of adequate lighting.
6,18,788,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(19),"19. Falls associated with toilets, baths, showers or other washing facilities."
7,18,793,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(24),24. Exposure to uncontrolled fire and associated smoke.
8,18,492,Housing Act 1988,g.7A(5),"Condition 5 is thatâ (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence underâ     (i) sectionÂ 80(4) of the Environmental Protection ActÂ 1990 (breach of abatement notice in relation to statutory nuisance), or     (ii) sectionÂ 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwelling-house which was a statutory nuisance for the purposes of PartÂ 3 of that Act by virtue of sectionÂ 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance)."
9,18,900,Housing Act 1985,s.84A(7),"Condition 5 is thatâ (a) the tenant, or a person residing in or visiting the dwellingâhouse, has been convicted of an offence underâ    (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or    (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwellingâhouse which was a statutory nuisance under Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance)."
