,query_id,statute_id,title_list,section_list,heading_list,content_list,distance_list
0,14,30,Housing Act 1996,s.184(2),Inquiry into cases of homelessness or threatened homelessness,"They may also make inquiries whether he has a local connection with the district of another local housing authority in England, Wales or Scotland.",0.3413131535053253
1,14,168,Housing Act 1996,s.199(1),Local connection,"A person has a local connection with the district of a local housing authority if he has a connection with itâ  (a)because he is, or in the past was, normally resident there, and that residence is or was of his own choice,  (b)because he is employed there,  (c)because of family associations, or  (d)because of special circumstances.",0.3443155586719513
2,14,159,Housing Act 1996,s.198(2),Referral of case to another local housing authority,"The conditions for referral of the case to another authority are met ifâ  (a)neither the applicant nor any person who might reasonably be expected to reside with him has a local connection with the district of the authority to whom his application was made,  (b)the applicant or a person who might reasonably be expected to reside with him has a local connection with the district of that other authority, and  (c)neither the applicant nor any person who might reasonably be expected to reside with him will run the risk of domestic abuse in that other district.",0.3522758185863495
3,14,171,Housing Act 1996,s.199(6),Local connection,A person has a local connection with the district of a local housing authority if he was (at any time) provided with accommodation in that district under section 95 of the Immigration and Asylum Act 1999 (support for asylum seekers).,0.3547482192516327
4,14,176,Housing Act 1996,s.199(11),Local connection,A person ceases to have a local connection with a district under s.199.10 upon attaining the age of 21 (but this does not affect whether the person has a local connection with that district under any other provision of this section).,0.37182343006134033
5,14,173,Housing Act 1996,s.199(8),Local connection,"While a local authority in England have a duty towards a person under section 23C of the Children Act 1989 (continuing functions in respect of former relevant children)â  (a) if the local authority is a local housing authority, the person has a local connection with their district, and  (b) otherwise, the person has a local connection with every district of a local housing authority that falls within the area of the local authority.",0.3800271451473236
6,14,164,Housing Act 1996,s.198(5),Referral of case to another local housing authority,"The question whether the conditions for referral of a case which does not involve a referral to a local housing authority in Wales, are satisfied shall be decided by agreement between the notifying authority and the notified authority or, in default of agreement, in accordance with such arrangements as the Secretary of State may direct by order.",0.4018112123012543
7,14,64,Housing Act 1996,s.189a(1),Assessments and personalised plan,"If the local housing authority are satisfied that an applicant is - (a) homeless or threatened with homelessness, and (b) eligible for assistance, the authority must make an assessment of the applicant's case.",0.4104546904563904
8,14,175,Housing Act 1996,s.199(10),Local connection,"Where, by virtue of being provided with accommodation under section 22A of the Children Act 1989 (provision of accommodation for children in care), a person is normally resident in the district of a local housing authority in England for a continuous period of at least two years, some or all of which falls before the person attains the age of 16, the person has a local connection with that district.",0.4133233428001404
9,14,37,Housing Act 1996,s.185(1),Persons from abroad not eligible for housing assistance,A person is not eligible for assistance under this Part if he is a person from aborad who is ineligible for housing assistance.,0.41420692205429077
