id,title,section,heading,content,url,type,category
274,Equality Act 2010,s.13(1),Direct Discrimination,"(1)A person (A) discriminates against another (B) if, because of a protected characteristic, A treats B less favourably than A treats or would treat others.  (2)If the protected characteristic is age, A does not discriminate against B if A can show A's treatment of B to be a proportionate means of achieving a legitimate aim.  (3)If the protected characteristic is disability, and B is not a disabled person, A does not discriminate against B only because A treats or would treat disabled persons more favourably than A treats B.  (4)If the protected characteristic is marriage and civil partnership, this section applies to a contravention of Part 5 (work) only if the treatment is because it is B who is married or a civil partner.  (5)If the protected characteristic is race, less favourable treatment includes segregating B from others.  (6)If the protected characteristic is sexâ  (a)less favourable treatment of a woman includes less favourable treatment of her because she is breast-feeding;  (b)in a case where B is a man, no account is to be taken of special treatment afforded to a woman in connection with pregnancy [F1, childbirth or maternity].",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/2,statute,Accessibility and Discrimination
275,Equality Act 2010,s.15(1),Discrimination Arising from Disability,"A person (A) discriminates against a disabled person (B) ifâ  (a)A treats B unfavourably because of something arising in consequence of B's disability, and  (b)A cannot show that the treatment is a proportionate means of achieving a legitimate aim.  Subsection (1) does not apply if A shows that A did not know, and could not reasonably have been expected to know, that B had the disability.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/2,statute,Accessibility and Discrimination
276,Equality Act 2010,s.20(1),Duty to Make Adjustments,"Where this Act imposes a duty to make reasonable adjustments on a person, this section, sections 21 and 22 and the applicable Schedule apply; and for those purposes, a person on whom the duty is imposed is referred to as A.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/2,statute,Accessibility and Discrimination
277,Equality Act 2010,s.20(2),Duty to Make Adjustments,"The duty comprises the following three requirements.  (1)The first requirement is a requirement, where a provision, criterion or practice of A's puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (2)The second requirement is a requirement, where a physical feature puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (3)The third requirement is a requirement, where a disabled person would, but for the provision of an auxiliary aid, be put at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to provide the auxiliary aid.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/3,statute,Accessibility and Discrimination
278,Equality Act 2010,s.20(6),Duty to Make Adjustments,"Where the first or third requirement relates to the provision of information, the steps which it is reasonable for A to have to take include steps for ensuring that in the circumstances concerned the information is provided in an accessible format.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/4,statute,Accessibility and Discrimination
279,Equality Act 2010,s.20(7),Duty to Make Adjustments,"A person (A) who is subject to a duty to make reasonable adjustments is not (subject to express provision to the contrary) entitled to require a disabled person, in relation to whom A is required to comply with the duty, to pay to any extent A's costs of complying with the duty.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/5,statute,Accessibility and Discrimination
280,Equality Act 2010,s.20(9),Duty to Make Adjustments,"In relation to the second requirement, a reference in this section or an applicable Schedule to avoiding a substantial disadvantage includes a reference toâ  (a)removing the physical feature in question,  (b)altering it, or  (c)providing a reasonable means of avoiding it.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/6,statute,Accessibility and Discrimination
281,Equality Act 2010,s.20(10),Duty to Make Adjustments,"A reference in this section, section 21 or 22 or an applicable Schedule (apart from paragraphs 2 to 4 of Schedule 4) to a physical feature is a reference toâ  (a)a feature arising from the design or construction of a building,  (b)a feature of an approach to, exit from or access to a building,  (c)a fixture or fitting, or furniture, furnishings, materials, equipment or other chattels, in or on premises, or  (d)any other physical element or quality.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/7,statute,Accessibility and Discrimination
282,Equality Act 2010,s.21(1),Failure To Comply With Duty,"A failure to comply with the first, second or third requirement is a failure to comply with a duty to make reasonable adjustments.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/8,statute,Accessibility and Discrimination
283,Equality Act 2010,s.21(2),Failure To Comply With Duty,A discriminates against a disabled person if A fails to comply with that duty in relation to that person.,https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/9,statute,Accessibility and Discrimination
